CFIP,FirstDateOrder,MBD_0,MBD_1,MBD_2,MBD_3,MBD_4,MBD_5,MBD_6,MBD_7,MBD_8,MBD_9,MBD_10,MBD_11,MBD_12,MBD_13,MBD_14,MBD_15,MBD_16,MBD_17,MBD_18,MBD_19,MBD_20
1.001000000000000000e+03,0.000000000000000000e+00,3.007681799999999850e+00,2.884870100000000104e+00,3.055843100000000145e+00,2.993233200000000149e+00,2.993233200000000149e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00
1.001000000000000000e+03,1.000000000000000000e+00,2.884870100000000104e+00,3.055843100000000145e+00,2.993233200000000149e+00,2.993233200000000149e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00
1.001000000000000000e+03,2.000000000000000000e+00,3.055843100000000145e+00,2.993233200000000149e+00,2.993233200000000149e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00
1.001000000000000000e+03,3.000000000000000000e+00,2.993233200000000149e+00,2.993233200000000149e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00
1.001000000000000000e+03,4.000000000000000000e+00,2.993233200000000149e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00
1.001000000000000000e+03,5.000000000000000000e+00,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00
1.001000000000000000e+03,6.000000000000000000e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00,3.203319500000000097e+00
1.001000000000000000e+03,7.000000000000000000e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00,3.203319500000000097e+00,3.200948499999999974e+00
1.001000000000000000e+03,8.000000000000000000e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00,3.203319500000000097e+00,3.200948499999999974e+00,3.286307100000000148e+00
1.001000000000000000e+03,9.000000000000000000e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00,3.203319500000000097e+00,3.200948499999999974e+00,3.286307100000000148e+00,3.296780800000000067e+00
