CFIP,FirstDateOrder,Year,MBD_0,MBD_1,MBD_2,MBD_3,MBD_4,MBD_5,MBD_6,MBD_7,MBD_8,MBD_9,MBD_10,MBD_11,MBD_12,bb,college,foreign,medianIncome,it
1.001000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,2.969090000000000007e+00,2.909325599999999845e+00,2.933231399999999933e+00,3.000167400000000040e+00,3.004948399999999964e+00,3.019291899999999806e+00,3.083837299999999892e+00,3.174678999999999807e+00,3.205756399999999839e+00,3.193803500000000017e+00,3.038416400000000017e+00,3.002558000000000060e+00,2.947243700000000022e+00,8.270000000000000284e+01,1.669999999999999929e+01,2.299999999999999822e+00,5.798200000000000000e+04,5.999999999999999778e-01
1.001000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,2.947243700000000022e+00,3.106105599999999800e+00,3.144042699999999968e+00,3.224659200000000059e+00,3.227030300000000018e+00,3.222288100000000099e+00,3.210432799999999975e+00,3.219917099999999976e+00,3.186722000000000055e+00,3.203319500000000097e+00,3.200948499999999974e+00,3.286307100000000148e+00,3.296780800000000067e+00,8.550000000000000000e+01,1.639999999999999858e+01,2.100000000000000089e+00,6.266000000000000000e+04,1.100000000000000089e+00
1.003000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,7.413655300000000281e+00,7.282521700000000209e+00,7.309610400000000396e+00,7.568799000000000277e+00,7.603275299999999959e+00,7.708551400000000164e+00,7.783044799999999874e+00,7.853228999999999793e+00,8.412239100000000747e+00,8.329126399999999819e+00,8.263252299999999551e+00,8.224466299999999563e+00,8.011044500000000568e+00,8.509999999999999432e+01,2.019999999999999929e+01,3.399999999999999911e+00,6.175600000000000000e+04,1.000000000000000000e+00
1.003000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,8.011044500000000568e+00,7.909000899999999668e+00,7.978030699999999698e+00,8.032653800000000288e+00,8.061466199999999915e+00,8.077073099999999783e+00,7.984033100000000438e+00,7.918604900000000058e+00,7.802154999999999951e+00,7.832167600000000007e+00,7.900597099999999706e+00,7.930009799999999665e+00,7.733397000000000077e+00,8.790000000000000568e+01,2.060000000000000142e+01,3.500000000000000000e+00,6.434600000000000000e+04,1.300000000000000044e+00
1.005000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.027228999999999948e+00,1.022313999999999945e+00,1.032143999999999950e+00,1.086208599999999969e+00,1.081293599999999966e+00,9.977391399999999688e-01,9.879092000000000429e-01,9.829942000000000402e-01,1.022313999999999945e+00,1.037058800000000058e+00,1.032143999999999950e+00,1.032143999999999950e+00,1.111997600000000030e+00,6.459999999999999432e+01,7.299999999999999822e+00,2.600000000000000089e+00,3.499000000000000000e+04,1.100000000000000089e+00
1.005000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.111997600000000030e+00,1.072105300000000039e+00,1.057145699999999966e+00,1.102024600000000021e+00,1.097037999999999958e+00,1.107011100000000026e+00,1.146903400000000017e+00,1.156876400000000027e+00,1.121970700000000098e+00,1.136930299999999949e+00,1.151889900000000022e+00,1.151889900000000022e+00,1.186628900000000097e+00,6.459999999999999432e+01,6.700000000000000178e+00,2.600000000000000089e+00,3.642200000000000000e+04,8.000000000000000444e-01
1.007000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.253637799999999913e+00,1.248041200000000073e+00,1.264830899999999980e+00,1.270427600000000101e+00,1.287217400000000067e+00,1.304007200000000033e+00,1.343183400000000027e+00,1.304007200000000033e+00,1.320796999999999999e+00,1.326393600000000061e+00,1.320796999999999999e+00,1.309603800000000096e+00,1.310043700000000033e+00,7.609999999999999432e+01,7.400000000000000355e+00,1.600000000000000089e+00,5.172100000000000000e+04,1.699999999999999956e+00
1.007000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.310043700000000033e+00,1.287649800000000067e+00,1.287649800000000067e+00,1.259657400000000038e+00,1.259657400000000038e+00,1.237263400000000013e+00,1.237263400000000013e+00,1.209271100000000043e+00,1.186877100000000018e+00,1.186877100000000018e+00,1.231665000000000010e+00,1.209271100000000043e+00,1.214165200000000056e+00,7.459999999999999432e+01,7.900000000000000355e+00,1.100000000000000089e+00,5.427700000000000000e+04,2.100000000000000089e+00
1.009000000000000000e+03,5.000000000000000000e+00,2.020000000000000000e+03,1.573216799999999971e+00,1.536998899999999946e+00,1.541526100000000010e+00,1.577744100000000094e+00,1.575480500000000061e+00,1.570953199999999939e+00,1.602643999999999957e+00,1.604907499999999931e+00,1.647916299999999890e+00,1.641125399999999956e+00,1.641125399999999956e+00,1.613962099999999955e+00,1.612029300000000109e+00,7.959999999999999432e+01,8.900000000000000355e+00,4.400000000000000355e+00,4.892200000000000000e+04,1.100000000000000089e+00
1.009000000000000000e+03,1.700000000000000000e+01,2.021000000000000000e+03,1.612029300000000109e+00,1.688792599999999977e+00,1.700081200000000070e+00,1.702339100000000105e+00,1.720400900000000011e+00,1.713627699999999976e+00,1.715885499999999952e+00,1.711370000000000058e+00,1.729432000000000080e+00,1.731689699999999998e+00,1.733947399999999917e+00,1.752009399999999939e+00,1.752923400000000020e+00,8.100000000000000000e+01,9.300000000000000711e+00,4.500000000000000000e+00,5.283000000000000000e+04,9.000000000000000222e-01
